"filename", "language", "CSS", "comment", "blank", "total"
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrap-theme.css", "CSS", 469, 6, 2, 477
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrap-theme.min.css", "CSS", 1, 4, 0, 5
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrap.css", "CSS", 6570, 8, 7, 6585
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrap.min.css", "CSS", 1, 4, 0, 5
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrapp.min.css", "CSS", 1, 5, 0, 6
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\estilos.css", "CSS", 60, 0, 13, 73
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\jquery.mCustomScrollbar.css", "CSS", 812, 113, 343, 1268
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\main.css", "CSS", 820, 32, 4, 856
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\material-design-iconic-font.min.css", "CSS", 1, 0, 0, 1
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\material.min.css", "CSS", 1, 8, 1, 10
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\normalize.css", "CSS", 177, 162, 86, 425
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\sweetalert2.css", "CSS", 487, 0, 31, 518
"Total", "-", 9400, 342, 487, 10229
