Date : 2024-11-08 18:58:44
Directory : c:\Users\intel PC\Desktop\PYMEURBAN\web
Total : 124 files,  41255 codes, 7748 comments, 9243 blanks, all 58246 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         21 |     28,072 |      7,503 |      6,960 |     42,535 |
| HTML       |         96 |     10,111 |        230 |      2,281 |     12,622 |
| XML        |          7 |      3,072 |         15 |          2 |      3,089 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        124 |     41,255 |      7,748 |      9,243 |     58,246 |
| . (Files)                                                                                            |         96 |     10,111 |        230 |      2,281 |     12,622 |
| WEB-INF                                                                                              |          2 |        266 |         15 |          2 |        283 |
| fonts                                                                                                |          5 |      2,806 |          0 |          0 |      2,806 |
| js                                                                                                   |         21 |     28,072 |      7,503 |      6,960 |     42,535 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\intel PC\Desktop\PYMEURBAN\web\ADetalleCompra.jsp                                           | HTML       |        163 |          2 |         38 |        203 |
| c:\Users\intel PC\Desktop\PYMEURBAN\web\APedidoPrima.jsp                                             | HTML       |        169 |          5 |         42 |        216 |
| c:\Users\intel PC\Desktop\PYMEURBAN\web\APrima.jsp                                                   | HTML       |        155 |          3 |         30 |        188 |
| c:\Users\intel PC\Desktop\PYMEURBAN\web\AProduccion.jsp                                              | HTML       |        167 |          5 |         41 |        213 |
| c:\Users\intel PC\Desktop\PYMEURBAN\web\AReporteCategoria.jsp                                        | HTML       |         93 |          3 |         24 |        120 |
