"filename", "language", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ADetalleCompra.jsp", "HTML", 163, 0, 0, 0, 2, 38, 203
"c:\Users\intel PC\Desktop\PYMEURBAN\web\APedidoPrima.jsp", "HTML", 169, 0, 0, 0, 5, 42, 216
"c:\Users\intel PC\Desktop\PYMEURBAN\web\APrima.jsp", "HTML", 155, 0, 0, 0, 3, 30, 188
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AProduccion.jsp", "HTML", 167, 0, 0, 0, 5, 41, 213
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AReporteCategoria.jsp", "HTML", 93, 0, 0, 0, 3, 24, 120
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AReporteCompra.jsp", "HTML", 113, 0, 0, 0, 2, 3, 118
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AReporteDiseño.jsp", "HTML", 96, 0, 0, 0, 3, 31, 130
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AReporteMarca.jsp", "HTML", 94, 0, 0, 0, 3, 30, 127
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AReportePedidoPrima.jsp", "HTML", 95, 0, 0, 0, 2, 23, 120
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AReportePrima.jsp", "HTML", 94, 0, 0, 0, 2, 25, 121
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AReporteProduccion.jsp", "HTML", 93, 0, 0, 0, 2, 24, 119
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AReporteProducto.jsp", "HTML", 102, 0, 0, 0, 2, 23, 127
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Acategoria.jsp", "HTML", 105, 0, 0, 0, 5, 33, 143
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Acompra.jsp", "HTML", 172, 0, 0, 0, 2, 39, 213
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Adiseño.jsp", "HTML", 133, 0, 0, 0, 5, 42, 180
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AeditCategoria.jsp", "HTML", 32, 0, 0, 0, 0, 7, 39
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AeditPedidoprima.jsp", "HTML", 50, 0, 0, 0, 0, 9, 59
